,Bull code/number,Age,AgeYear,DentalAge,AgeNumber,AgeCategory,Year,Model,Megapixels,Aperture,ShutterSpeed,ISO,FocalLength,Quality,WhiteBalance,Season,Month,Day,Date,Time,AgeClass,Head.Girth,Head.Height,Tusk.Side,Tusk.Length,Tusk.Circumference,Tusk.Shape,Tusk.Missing,Tusk.Breakage,Tusk.Arrangement,Body.Width,Shoulder.Height,Foot.Circumference,Musth.Period,Musth.Signs,Anatomy.not.visible,Anatomy.not.visible.binary,Blurred.Image,Visible.Injury,Body.Condition.Score,Ratio.bodyheight.to.bodywidth,Ratio.bodywith.to.bodyheight,Ratio.tusklength.bodywidth,Ratio.tusklength.bodyheight,Ratio.tuskcircumference.bodywidth,Ratio.tuskcircumference.bodyheight,Ratio.foot.to.bodywidth,Ratio.foot.to.bodyheight,Ratio.tusklength.to.foot,Ratio.tuskcircumference.to.foot,Ratio.tusk.circumference.to.tusk.length,Ratio.bodyheight.to.bodywidth2,Ratio.bodywith.to.bodyheight2,Ratio.tusklength.bodywidth2,Ratio.tusklength.bodyheight2,Ratio.tuskcircumference.bodywidth2,Ratio.tuskcircumference.bodyheight2,Ratio.foot.to.bodywidth2,Ratio.foot.to.bodyheight2,Ratio.tusklength.to.foot2,Ratio.tuskcircumference.to.foot2,Ratio.tusk.circumference.to.tusk.length2,Ratio.tusk.length.to.head.height,Ratio.tusk.circumference.to.head.height,Ratio.tusk.length.to.head.girth,Ratio.tusk.circumference.to.head.girth,Ratio.tusk.length.to.circumference
11,1,20,2004,16,2,young adult,2004,C750UZ,3.9,4,0,50,18.5,Normal,Auto,wet,11,13,11/13/2004,12:38:13,Young,136.47,266.27,right,276.27,51.2,upcurved,0,0,higher left,1090.96,NA,NA,NA,NA,NA,0,0,0,5,NA,NA,0.253235682,NA,0.046931143,NA,NA,NA,NA,NA,0.185325949,NA,NA,0.200235682,NA,0.033931143,NA,NA,NA,NA,NA,0.161325949,1.037555864,0.192286025,2.024400967,0.375174031,5.395898438
12,1,20,2004,20,2,young adult,2008,FinePix S5600,5,6.4,0,200,63,Normal,Cloudy,dry,6,22,6/22/2008,11:15:31,Young,234.76,359.45,left,310.91,70.52,upcurved,0,0,parallel,NA,1962.27,322.17,non-musth,NA,anal flap,0,0,0,NA,NA,NA,NA,0.158444047,NA,0.03593797,NA,0.164182299,0.965049508,0.218890648,0.22681805,NA,NA,NA,0.138444047,NA,0.03393797,NA,0.153182299,0.706049508,0.205890648,0.20281805,0.864960356,0.196188622,1.324373829,0.30039189,4.408820193
13,1,20,2004,16,2,young adult,2004,C750UZ,3.9,3.5,0,50,18.5,Normal,Auto,wet,11,13,11/13/2004,12:38:32,Young,140.32,268.25,right,288.41,53.12,upcurved,0,0,NA,1221.72,1528.14,258.76,NA,NA,NA,0,0,0,4,1.250810333,0.799481723,0.236068821,0.188732708,0.043479684,0.034761213,0.211799758,0.169330035,1.114584944,0.205286752,0.184182241,0.987810333,0.578481723,0.183068821,0.168732708,0.030479684,0.032761213,0.157799758,0.158330035,0.855584944,0.192286752,0.160182241,1.075153774,0.198024231,2.055373432,0.378563284,5.42940512
14,1,20,2004,17,2,young adult,2005,C750UZ,3.9,3.7,0,88,63,Normal,Auto,dry,5,2,5/2/2005,14:21:57,Young,112.76,207.67,right,209.65,41.34,upcurved,0,0,higher left,971.88,1132.61,201.07,non-musth,NA,NA,0,0,0,2,1.1653805,0.858088839,0.215715932,0.185103434,0.042536116,0.036499766,0.206887682,0.177528011,1.042671706,0.20560004,0.197185786,0.9023805,0.637088839,0.162715932,0.165103434,0.029536116,0.034499766,0.152887682,0.166528011,0.783671706,0.19260004,0.173185786,1.009534357,0.199065826,1.859258602,0.366619369,5.071359458
15,1,20,2004,16,2,young adult,2004,C750UZ,3.9,4,0,50,18.5,Normal,Auto,wet,11,13,11/13/2004,12:38:42,Young,147.57,264.62,right,294.22,53.42,upcurved,0,0,NA,1220.86,1531.42,257.6,NA,NA,NA,0,0,0,4,1.254378061,0.79720782,0.240994053,0.192122344,0.043756041,0.034882658,0.210998804,0.168209897,1.142158385,0.207375776,0.181564815,0.991378061,0.57620782,0.187994053,0.172122344,0.030756041,0.032882658,0.156998804,0.157209897,0.883158385,0.194375776,0.157564815,1.111858514,0.201874386,1.993765671,0.361997696,5.507675028
16,1,20,2004,16,2,young adult,2004,C750UZ,3.9,3.5,0,50,18.5,Normal,Auto,wet,11,13,11/13/2004,12:38:26,Young,93.61,255.83,right,271.05,51.85,upcurved,0,0,NA,1214.39,1507.06,256.34,NA,NA,NA,0,0,0,4,1.241001655,0.805800698,0.223198478,0.17985349,0.042696333,0.034404735,0.211085401,0.170092763,1.057384723,0.202270422,0.191293119,0.978001655,0.584800698,0.170198478,0.15985349,0.029696333,0.032404735,0.157085401,0.159092763,0.798384723,0.189270422,0.167293119,1.059492632,0.20267365,2.895523982,0.553893815,5.227579556
17,1,20,2004,17,2,young adult,2005,C740UZ,3.1,3.5,0,64,23.4,Normal,Auto,wet,2,2,2/2/2005,11:14:02,Young,NA,NA,right,147.83,31.85,upcurved,0,0,higher left,761.08,NA,NA,non-musth,NA,foot,0,0,0,3,NA,NA,0.194237137,NA,0.041848426,NA,NA,NA,NA,NA,0.215450179,NA,NA,0.141237137,NA,0.028848426,NA,NA,NA,NA,NA,0.191450179,NA,NA,NA,NA,4.64144427
18,2,28,2006,24,3,adult,2006,C750UZ,3.9,3.2,0,50,26.4,Normal,Auto,wet,2,2,2/2/2006,15:55:12,Prime,96.14,191.61,right,297.31,37.62,upcurved,NA,NA,NA,874.61,NA,NA,musth,"TGS, UD",foot,0,0,0,4,NA,NA,0.339934371,NA,0.043013457,NA,NA,NA,NA,NA,0.126534594,NA,NA,0.286934371,NA,0.030013457,NA,NA,NA,NA,NA,0.102534594,1.551641355,0.196336308,3.092469316,0.391304348,7.90297714
19,2,26,2004,22,3,adult,2004,FinePixS2Pro,12.1,5.6,0,400,115,Fine,Auto,wet,1,9,1/9/2004,18:11:12,Prime,121.21,317.86,right,451.41,62.51,upcurved,0,NA,NA,1450.51,1730.94,286.51,non-musth,NA,NA,0,0,0,3,1.193332,0.837989763,0.311207782,0.260788935,0.043095187,0.036113326,0.19752363,0.16552278,1.575547101,0.218177376,0.138477216,0.930332,0.616989763,0.258207782,0.240788935,0.030095187,0.034113326,0.14352363,0.15452278,1.316547101,0.205177376,0.114477216,1.420153527,0.196658906,3.724197673,0.515716525,7.221404575
20,2,26,2004,22,3,adult,2004,FinePixS2Pro,12.1,5.6,0,400,115,Fine,Auto,wet,1,9,1/9/2004,18:11:32,Prime,147.31,312.75,right,459.64,63.51,upcurved,0,0,parallel,1504.31,1777.58,308.88,non-musth,NA,NA,0,0,0,3,1.181658036,0.846268522,0.305548723,0.258576267,0.042218692,0.03572835,0.205330018,0.173764331,1.488085988,0.205613831,0.138173353,0.918658036,0.625268522,0.252548723,0.238576267,0.029218692,0.03372835,0.151330018,0.162764331,1.229085988,0.192613831,0.114173353,1.469672262,0.203069544,3.12022266,0.431131627,7.237285467
21,2,26,2004,22,3,adult,2004,FinePixS2Pro,12.1,5.6,0,400,115,Fine,Auto,wet,1,9,1/9/2004,18:11:17,Prime,184.68,320.86,right,462.65,65.56,upcurved,NA,NA,NA,1408.05,1726.86,288.94,non-musth,NA,NA,0,0,0,3,1.226419516,0.815381675,0.32857498,0.267914017,0.046560847,0.037964861,0.205205781,0.167321034,1.60119748,0.226898318,0.141705393,0.963419516,0.594381675,0.27557498,0.247914017,0.033560847,0.035964861,0.151205781,0.156321034,1.34219748,0.213898318,0.117705393,1.441906127,0.204325874,2.505144033,0.354992419,7.056894448
